order_id,region,sku,units,revenue_usd,status,shipped_at
10041,APAC,WIDGET-A,120,9480,shipped,2026-07-12
10042,EMEA,WIDGET-B,48,3840,shipped,2026-07-13
10043,AMER,WIDGET-A,200,15800,pending,
10044,APAC,WIDGET-C,36,2880,shipped,2026-07-14
10045,EMEA,WIDGET-A,90,7110,shipped,2026-07-15
10046,AMER,WIDGET-B,64,5120,cancelled,
10047,APAC,WIDGET-B,150,12000,shipped,2026-07-18
10048,EMEA,WIDGET-C,22,1760,pending,
10049,AMER,WIDGET-A,175,13825,shipped,2026-07-19
10050,APAC,WIDGET-A,88,6952,shipped,2026-07-20
